#COMMAND
Name        '~
Code        do_say
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    106
Level       0
Log         0
End

#COMMAND
Name        ,~
Code        do_emote
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    106
Level       0
Log         0
End

#COMMAND
Name        -~
Code        do_avtalk
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       239
Log         0
Flags       1
End

#COMMAND
Name        .~
Code        do_chat
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    104
Level       1
Log         0
Flags       1
End

#COMMAND
Name        :~
Code        do_immtalk
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       243
Log         0
Flags       1
End

#COMMAND
Name        ;~
Code        do_gtell
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       0
Log         0
End

#COMMAND
Name        ?~
Code        do_avtalk
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       239
Log         0
End

#COMMAND
Name        ar~
Code        do_up
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    112
Level       0
Log         0
End

#COMMAND
Name        autorizar~
Code        do_authorize
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       242
Log         1
End

#COMMAND
Name        at~
Code        do_at
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       245
Log         0
End

#COMMAND
Name        afectado~
Code        do_affected
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    104
Level       0
Log         0
End

#COMMAND
Name        ansi~
Code        do_ansi
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       0
Log         0
End

#COMMAND
Name        asignar~
Code        do_aassign
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       244
Log         1
End

#COMMAND
Name        advance~
Code        do_advance
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       255
Log         1
End

#COMMAND
Name        areas~
Code        do_areas
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       0
Log         0
End

#COMMAND
Name        aset~
Code        do_aset
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       246
Log         1
End

#COMMAND
Name        astatus~
Code        do_astat
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       248
Log         0
End

#COMMAND
Name        aplicar~
Code        do_apply
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       1
Log         0
End

#COMMAND
Name        atobj~
Code        do_atobj
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       245
Log         0
End

#COMMAND
Name        agitar~
Code        do_zap
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    108
Level       0
Log         0
End

#COMMAND
Name        abajo~
Code        do_down
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    112
Level       0
Log         0
End

#COMMAND
Name        ayuda~
Code        do_help
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    100
Level       0
Log         0
End

#COMMAND
Name        abandonar~
Code        do_leave
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    112
Level       0
Log         0
End

#COMMAND
Name        asesina~
Code        do_murde
Desactivado    0
Disciplina     0
Disciplinalevel        0
Position    109
Level       5
Log         0
End

#COMMAND
Name        asesinar~
Code        do_murder
Desactivado    0
